key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,,,,,
up,1,0,,1,,,,,,,,,,
down,0,0,, ,1,,,,,,,,,
down,1,2,,,,,1,,,respond YES ,respond NO,,prop hit=hit/hit+miss,21
down,1,2,,,,,1,,signal present ,hit ,miss,,prop fa = fa/fa+corr rejection,25
up,1,0,,1,,,,,signal absent ,false alarm ,correct rejection,,,
down,0,0,,,1,,,,,,,,,
down,1,-1,,,,,1,,,,,,d prime = z(prop hit) -z(prop fa),#NUM!
up,0,-1,,,,1,,,,respond YES,respond NO,,c = -z(prop hit) + z(prop fa)/2,
up,1,0,,1,,,,,signal present,27,20,,,
up,1,0,,1,,,,,signal absent,29,24,,,
down,1,-2,,,,,1,,,,,,,
down,1,3,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-1,,,,,1,,,,,,,
up,0,1,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,2,,,,1,,,,,,,,
down,1,3,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,3,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,
down,1,-1,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,-5,,,,1,,,,,,,,
up,0,3,,,,1,,,,,,,,
up,0,-1,,,,1,,,,,,,,
up,0,-2,,,,1,,,,,,,,
up,0,1,,,,1,,,,,,,,
up,0,-2,,,,1,,,,,,,,
up,0,3,,,,1,,,,,,,,
up,0,2,,,,1,,,,,,,,
up,0,-3,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-3,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,-2,,,,1,,,,,,,,
down,1,3,,,,,1,,,,,,,
down,1,-1,,,,,1,,,,,,,
down,0,0,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,-3,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,1,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
down,1,-1,,,,,1,,,,,,,
down,0,0,,,1,,,,,,,,,
up,0,-2,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-1,,,,,1,,,,,,,
up,0,-2,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,2,,,,1,,,,,,,,
up,0,-2,,,,1,,,,,,,,
up,0,0,,,1,,,,,,,,,
up,0,0,,,1,,,,,,,,,
up,0,3,,,,1,,,,,,,,
up,0,-5,,,,1,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,1,,,,1,,,,,,,,
up,0,-5,,,,1,,,,,,,,
up,0,3,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,0,,,1,,,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,4,,,,,1,,,,,,,
up,1,0,,,1,,,,,,,,,
down,1,-4,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,1,-5,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
up,0,0,,,1,,,,,,,,,
up,0,-4,,,,,1,,,,,,,
up,0,-3,,,,,1,,,,,,,
up,1,0,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,0,,1,,,,,,,,,,
down,1,-1,,,,,1,,,,,,,
up,0,-4,,,,1,,,,,,,,
up,0,-1,,,,1,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,0,0,,,1,,,,,,,,,
down,1,-2,,,,,1,,,,,,,
up,0,3,,,,1,,,,,,,,
down,1,0,,1,,,,,,,,,,
down,0,0,,,1,,,,,,,,,
,,,,,,,,,,,,,,
,,,,27,20,29,24,,,,,,,
